Absorvente ALWAYS BÁSICA C/8 PT;R$ 2,80 
Absorvente ALWAYS BÁSICA COM ABAS C/8 PT;R$ 2,61 
Absorvente INTIMUS GEL SOFT NORMAL S/ABAS C/08 PT;R$ 2,31 
Absorvente INTIMUS OB MINI C/10 CX;R$ 5,60 
Absorvente SEMPRE LIVRE AG.N. TOQUE SUAVE C/ ABAS C/08;R$ 3,08 
Absorvente SEMPRE LIVRE AG.N. TOQUE SUAVE S/ ABAS C/8 PT;R$ 3,08 
Açúcar Cristal MINASCUCAR 2KG PT;R$ 3,89 
Açúcar Cristal MINASCUCAR 5KG PT;R$ 7,79 
Açúcar Refinado UNIÃO 1KG PT;R$ 2,39 
Água MINERAL COM GÁS MINALBA 1L FR;R$ 1,99 
Água MINERAL MINALBA 1500ML FR;R$ 1,59 
Água NATURAL IGARAPE 1500ML FR;R$ 1,78 
Água TÔNICA ANTARCTICA 350ML LT;R$ 1,39 
Água TÔNICA SCHWEPPES 350ML LT;R$ 1,59 
ARROZ AG CAMIL T1 5KG PT;R$ 11,30 
ARROZ AG PARBOILIZADO TIO JOAO T1 5KG PT;R$ 11,99 
ARROZ AG PARBOILIZADO UNCLE BENS T1 5KG PT;R$ 13,08 
ARROZ AG PRATO FINO T1 5KG PT;R$ 13,07 
ARROZ AG TIA JU T1 5KG PT;R$ 8,98 
ARROZ AG TIO JOÃO T1 5KG PT;R$ 13,01 
CERA PASTA GRAN PRIX EXTREME 200G LT;R$ 17,60 
CERA PASTA GRAN PRIX TRADICIONAL 200G LT;R$ 17,31 
AZEITE COCINERO 500ML;R$ 9,94 
AZEITE ESPANHOL CARBONELL 500ML LT;R$ 14,74 
AZEITE PORTUGUES ANDORINHA 500ML LT;R$ 12,97 
AZEITE PORTUGUÊS GALLO 200ML LT;R$ 8,36 
AZEITE PORTUGUES GALLO 500ML LT;R$ 13,05 
APARELHO GILLETTE MACH 3 TURBO C/ CARGA - UN;R$ 25,70 
APARELHO GILLETTE SENSOR 3 - UN;R$ 42,99 
CARGA MACH 3 C/2 CT;R$ 16,19 
CARGA MACH 3 C/4 CT;R$ 31,43 
CARGA SENSOR C/2 CT;R$ 9,26 
CARGA SENSOR EXCEL C/2 CT;R$ 10,24 
ESPUMA DE BARBEAR GILLETTE FOAMY ALOE Y ALANTOINA 150G TB;R$ 18,49 
GEL DE BARBEAR GILLETTE SERIES SENSITIVE SKIN 198G TB;R$ 27,24 
FOSFORO FIAT LUX COZINHA FORTES C/240 CX;R$ 2,56 
FOSFORO FIAT LUX TRADICIONAL PINHEIRO C/10 CX;R$ 2,56 
LAMPADA BELLALUX OSRAM 100WX127V 697 UN;R$ 2,50 
LAMPADA BELLALUX OSRAM 40WX127V 693 UN;R$ 2,84 
